;Open;High;Low;Close;Date;Values
2023-01-12 19:08:11;7829,3;7829,3;7829,3;7829,3;;
2023-01-12 19:08:12;7829,3;7829,3;7829,3;7829,3;;
2023-01-12 19:08:15;7829,3;7829,3;7829,3;7829,3;;
2023-01-12 19:08:42;7828,8;7828,8;7828,8;7828,8;;
2023-01-12 19:08:46;7828,3;7828,3;7828,3;7828,3;;
2023-01-12 19:09:01;7828,3;7828,3;7828,3;7828,3;;
2023-01-12 19:09:05;7828,8;7828,8;7828,8;7828,8;;
2023-01-12 19:09:18;7828,8;7828,8;7828,8;7828,8;;
2023-01-12 19:09:19;7828,8;7828,8;7828,8;7828,8;;
2023-01-12 19:09:20;7828,8;7828,8;7828,8;7828,8;;
2023-01-12 19:09:23;7828,8;7828,8;7828,8;7828,8;;
2023-01-12 19:09:40;7828,3;7828,3;7828,3;7828,3;;
2023-01-12 19:09:53;7828,3;7828,3;7828,3;7828,3;;
2023-01-12 19:09:54;7828,3;7828,3;7828,3;7828,3;;
2023-01-12 19:09:57;7828,3;7828,8;7828,3;7828,8;;
2023-01-12 19:10:00;7828,8;7828,8;7828,8;7828,8;;
2023-01-12 19:10:29;7828,8;7828,8;7828,7;7828,7;;
2023-01-12 19:10:31;7828,8;7828,8;7828,8;7828,8;;
2023-01-12 19:10:33;7828,8;7828,8;7828,8;7828,8;;
2023-01-12 19:10:39;7828,8;7828,8;7828,8;7828,8;;
2023-01-12 19:10:40;7828,7;7828,8;7828,7;7828,8;;
2023-01-12 19:10:42;7828,7;7828,8;7828,7;7828,8;;
2023-01-12 19:10:43;7828,8;7828,8;7828,8;7828,8;;
2023-01-12 19:10:44;7828,8;7828,8;7828,8;7828,8;;
2023-01-12 19:10:45;7828,8;7828,8;7828,8;7828,8;;
2023-01-12 19:10:46;7828,8;7828,8;7828,8;7828,8;;
2023-01-12 19:10:49;7828,8;7828,8;7828,8;7828,8;;
2023-01-12 19:10:52;7828,8;7828,8;7828,8;7828,8;;
2023-01-12 19:10:54;7828,8;7828,8;7828,8;7828,8;;
2023-01-12 19:10:55;7828,8;7828,8;7828,8;7828,8;;
2023-01-12 19:10:56;7828,3;7828,3;7828,3;7828,3;;
2023-01-12 19:11:02;7828,3;7828,3;7828,3;7828,3;;
2023-01-12 19:11:15;7828,3;7828,3;7828,3;7828,3;;
2023-01-12 19:11:17;7828,3;7828,3;7828,3;7828,3;;
2023-01-12 19:11:19;7828,3;7829,8;7828,3;7829,8;;
2023-01-12 19:11:20;7829,8;7829,8;7829,8;7829,8;;
2023-01-12 19:11:37;7829,3;7829,3;7829,3;7829,3;;
2023-01-12 19:11:42;7829,3;7829,3;7829,3;7829,3;;
2023-01-12 19:11:45;7829,8;7829,8;7829,8;7829,8;;
2023-01-12 19:12:01;7829,8;7829,8;7829,8;7829,8;;
2023-01-12 19:12:04;7829,8;7829,8;7829,8;7829,8;;
2023-01-12 19:12:33;7830,0;7830,0;7830,0;7830,0;;
2023-01-12 19:13:02;7830,0;7830,0;7830,0;7830,0;;
2023-01-12 19:13:04;7830,0;7830,0;7830,0;7830,0;;
2023-01-12 19:13:06;7830,0;7830,0;7830,0;7830,0;;
2023-01-12 19:13:08;7830,0;7830,0;7830,0;7830,0;;
2023-01-12 19:13:15;7830,0;7830,0;7830,0;7830,0;;
2023-01-12 19:13:17;7830,0;7830,0;7830,0;7830,0;;
2023-01-12 19:13:18;7830,0;7830,0;7830,0;7830,0;;
2023-01-12 19:13:22;7830,0;7830,0;7830,0;7830,0;;
2023-01-12 19:13:26;7830,0;7830,0;7830,0;7830,0;;
2023-01-12 19:13:34;7830,0;7830,0;7830,0;7830,0;;
2023-01-12 19:13:38;7829,7;7830,0;7829,7;7830,0;;
2023-01-12 19:13:40;7830,0;7830,0;7830,0;7830,0;;
2023-01-12 19:13:41;7830,0;7830,0;7830,0;7830,0;;
2023-01-12 19:13:46;7830,0;7830,0;7830,0;7830,0;;
2023-01-12 19:13:48;7829,8;7829,8;7829,8;7829,8;;
2023-01-12 19:13:54;7829,8;7829,8;7829,8;7829,8;;
2023-01-12 19:13:57;7829,8;7829,8;7829,8;7829,8;;
2023-01-12 19:13:58;7829,8;7829,8;7829,8;7829,8;;
2023-01-12 19:14:04;7829,8;7829,8;7829,8;7829,8;;
2023-01-12 19:14:26;7830,0;7830,0;7830,0;7830,0;;
2023-01-12 19:14:38;7829,8;7829,8;7829,8;7829,8;;
2023-01-12 19:14:43;7829,8;7829,8;7829,8;7829,8;;
2023-01-12 19:14:45;7829,8;7829,8;7829,8;7829,8;;
2023-01-12 19:15:02;7829,8;7829,8;7829,8;7829,8;;
2023-01-12 19:15:03;7829,8;7829,8;7829,8;7829,8;;
2023-01-12 19:15:04;7829,8;7829,8;7829,8;7829,8;;
2023-01-12 19:15:05;7829,3;7829,3;7828,8;7828,8;;
2023-01-12 19:15:06;7828,8;7828,8;7828,8;7828,8;;
2023-01-12 19:15:09;7828,8;7828,8;7828,8;7828,8;;
2023-01-12 19:15:16;7828,8;7828,8;7828,8;7828,8;;
2023-01-12 19:15:17;7828,8;7828,8;7828,8;7828,8;;
